Community.Area,Week,Year,Weeek,Crimes,Crimes.LastWeek,Arrests.LastWeek,Domestics.LastWeek,Month,MinDay,MaxDay,CommonCrimes.LastWeek
1,1,2013,1,54,#NAME?,#NAME?,#NAME?,1,1,5,#NAME?
1,10,2013,10,67,98,24,12,3,3,9,56
1,11,2013,11,89,67,22,4,3,10,16,40
1,12,2013,12,85,89,36,10,3,17,23,39
1,13,2013,13,76,85,32,5,3,24,30,51
1,14,2013,14,89,76,35,11,3.853932584,1,31,47
1,15,2013,15,100,89,34,11,4,7,13,55
1,16,2013,16,111,100,26,16,4,14,20,69
1,17,2013,17,91,111,29,16,4,21,27,65
1,18,2013,18,107,91,31,13,4.607476636,1,30,61
1,19,2013,19,79,107,37,15,5,5,11,62
1,2,2013,2,89,54,18,11,1,6,12,25
1,20,2013,20,95,79,27,11,5,12,18,53
1,21,2013,21,71,95,27,19,5,19,25,62
1,22,2013,22,95,71,20,8,5.157894737,1,31,38
1,23,2013,23,80,95,31,15,6,2,8,55
1,24,2013,24,96,80,27,7,6,9,15,46
1,25,2013,25,101,96,34,12,6,16,22,67
1,26,2013,26,81,101,40,18,6,23,29,64
1,27,2013,27,87,81,25,11,6.862068966,1,30,57
1,28,2013,28,106,87,20,11,7,7,13,62
1,29,2013,29,83,106,33,22,7,14,20,67
1,3,2013,3,84,89,26,19,1,13,19,49
1,30,2013,30,92,83,24,12,7,21,27,54
1,31,2013,31,101,92,23,14,7.465346535,1,31,56
1,32,2013,32,85,101,29,14,8,4,10,70
1,33,2013,33,85,85,23,17,8,11,17,54
1,34,2013,34,105,85,23,13,8,18,24,60
1,35,2013,35,92,105,25,19,8,25,31,61
1,36,2013,36,92,92,22,5,9,1,7,58
1,37,2013,37,79,92,26,16,9,8,14,60
1,38,2013,38,76,79,21,17,9,15,21,51
1,39,2013,39,65,76,18,10,9,22,28,50
1,4,2013,4,76,84,28,15,1,20,26,49
1,40,2013,40,83,65,13,13,9.710843373,1,30,40
1,41,2013,41,77,83,30,16,10,6,12,55
1,42,2013,42,65,77,15,11,10,13,19,46
1,43,2013,43,76,65,14,6,10,20,26,39
1,44,2013,44,85,76,14,10,10.28235294,1,31,58
1,45,2013,45,104,85,19,11,11,3,9,61
1,46,2013,46,85,104,26,12,11,10,16,72
1,47,2013,47,84,85,27,9,11,17,23,51
1,48,2013,48,67,84,26,13,11,24,30,56
1,49,2013,49,76,67,20,6,12,1,7,42
1,5,2013,5,107,76,24,12,1.327102804,1,31,48
1,50,2013,50,61,76,21,12,12,8,14,46
1,51,2013,51,61,61,10,5,12,15,21,39
1,52,2013,52,56,61,16,8,12,22,28,38
1,53,2013,53,25,56,9,13,12,29,31,36
1,6,2013,6,72,107,30,13,2,3,9,68
1,7,2013,7,93,72,20,14,2,10,16,40
1,8,2013,8,82,93,25,14,2,17,23,60
1,9,2013,9,98,82,19,10,2.255102041,1,28,53
1,1,2014,1,30,25,7,5,1,1,4,16
1,10,2014,10,75,60,12,9,3,2,8,35
1,11,2014,11,69,75,27,11,3,9,15,49
1,12,2014,12,74,69,21,10,3,16,22,41
1,13,2014,13,63,74,20,10,3,23,29,44
1,14,2014,14,71,63,14,4,3.746478873,1,31,40
1,15,2014,15,88,71,16,6,4,6,12,33
1,16,2014,16,77,88,31,14,4,13,19,51
1,17,2014,17,76,77,21,9,4,20,26,33
1,18,2014,18,74,76,18,13,4.513513514,1,30,41
1,19,2014,19,65,74,28,9,5,4,10,42
1,2,2014,2,46,30,5,4,1,5,11,13
1,20,2014,20,72,65,18,7,5,11,17,40
1,21,2014,21,87,72,14,14,5,18,24,46
1,22,2014,22,78,87,34,10,5,25,31,54
1,23,2014,23,67,78,30,13,6,1,7,51
1,24,2014,24,88,67,19,16,6,8,14,39
1,25,2014,25,86,88,24,16,6,15,21,57
1,26,2014,26,85,86,24,8,6,22,28,54
1,27,2014,27,94,85,19,24,6.712765957,1,30,42
1,28,2014,28,98,94,25,17,7,6,12,54
1,29,2014,29,81,98,24,20,7,13,19,57
1,3,2014,3,67,46,10,14,1,12,18,35
1,30,2014,30,91,81,20,8,7,20,26,53
1,31,2014,31,87,91,18,12,7.310344828,1,31,59
1,32,2014,32,78,87,25,8,8,3,9,54
1,33,2014,33,94,78,29,12,8,10,16,37
1,34,2014,34,91,94,14,11,8,17,23,63
1,35,2014,35,77,91,26,14,8,24,30,62
1,36,2014,36,81,77,25,8,8.827160494,1,31,50
1,37,2014,37,71,81,20,10,9,7,13,53
1,38,2014,38,81,71,20,8,9,14,20,42
1,39,2014,39,89,81,28,11,9,21,27,46
1,4,2014,4,68,67,11,14,1,19,25,42
1,40,2014,40,74,89,28,8,9.702702703,1,30,49
1,41,2014,41,64,74,28,13,10,5,11,45
1,42,2014,42,59,64,19,9,10,12,18,43
1,43,2014,43,75,59,7,7,10,19,25,38
1,44,2014,44,83,75,21,12,10.13253012,1,31,44
1,45,2014,45,75,83,15,6,11,2,8,42
1,46,2014,46,70,75,26,5,11,9,15,54
1,47,2014,47,52,70,13,16,11,16,22,44
1,48,2014,48,56,52,8,8,11,23,29,33
1,49,2014,49,62,56,12,13,11.88709677,1,30,36
1,5,2014,5,72,68,16,14,1.194444444,1,31,46
1,50,2014,50,49,62,10,9,12,7,13,34
1,51,2014,51,56,49,15,11,12,14,20,31
1,52,2014,52,49,56,13,7,12,21,27,35
1,53,2014,53,21,49,7,12,12,28,31,35
1,6,2014,6,51,72,17,10,2,2,8,37
1,7,2014,7,63,51,11,7,2,9,15,32
1,8,2014,8,62,63,18,11,2,16,22,38
1,9,2014,9,60,62,24,11,2.233333333,1,28,37
2,1,2013,1,52,#NAME?,#NAME?,#NAME?,1,1,5,#NAME?
2,10,2013,10,67,63,14,11,3,3,9,35
2,11,2013,11,55,67,19,6,3,10,16,34
2,12,2013,12,57,55,12,8,3,17,23,26
2,13,2013,13,60,57,11,11,3,24,30,26
2,14,2013,14,68,60,11,9,3.867647059,1,31,34
2,15,2013,15,91,68,15,14,4,7,13,48
2,16,2013,16,58,91,25,14,4,14,20,57
2,17,2013,17,73,58,7,6,4,21,27,38
2,18,2013,18,77,73,8,11,4.584415584,1,30,44
2,19,2013,19,78,77,11,10,5,5,11,48
2,2,2013,2,81,52,12,9,1,6,12,30
2,20,2013,20,93,78,13,13,5,12,18,44
2,21,2013,21,85,93,22,15,5,19,25,59
2,22,2013,22,88,85,19,11,5.170454545,1,31,50
2,23,2013,23,98,88,22,14,6,2,8,55
2,24,2013,24,77,98,18,18,6,9,15,57
2,25,2013,25,90,77,16,13,6,16,22,56
2,26,2013,26,74,90,16,18,6,23,29,57
2,27,2013,27,84,74,10,8,6.857142857,1,30,47
2,28,2013,28,79,84,14,12,7,7,13,53
2,29,2013,29,77,79,11,11,7,14,20,54
2,3,2013,3,74,81,19,11,1,13,19,44
2,30,2013,30,75,77,19,10,7,21,27,48
2,31,2013,31,71,75,11,16,7.450704225,1,31,52
2,32,2013,32,66,71,13,7,8,4,10,45
2,33,2013,33,82,66,14,8,8,11,17,39
2,34,2013,34,72,82,17,6,8,18,24,58
2,35,2013,35,90,72,12,11,8,25,31,55
2,36,2013,36,72,90,17,21,9,1,7,56
2,37,2013,37,84,72,16,9,9,8,14,53
2,38,2013,38,102,84,16,11,9,15,21,56
2,39,2013,39,83,102,18,11,9,22,28,71
2,4,2013,4,61,74,13,7,1,20,26,47
2,40,2013,40,70,83,16,10,9.828571429,1,30,56
2,41,2013,41,87,70,11,9,10,6,12,46
2,42,2013,42,76,87,10,6,10,13,19,49
2,43,2013,43,60,76,12,10,10,20,26,50
2,44,2013,44,67,60,10,8,10.32835821,1,31,38
2,45,2013,45,62,67,12,15,11,3,9,42
2,46,2013,46,71,62,9,8,11,10,16,33
2,47,2013,47,78,71,21,15,11,17,23,46
2,48,2013,48,57,78,19,15,11,24,30,51
2,49,2013,49,70,57,9,8,12,1,7,40
2,5,2013,5,79,61,11,10,1.303797468,1,31,31
2,50,2013,50,63,70,17,8,12,8,14,39
2,51,2013,51,71,63,16,10,12,15,21,38
2,52,2013,52,49,71,12,9,12,22,28,49
2,53,2013,53,21,49,11,6,12,29,31,25
2,6,2013,6,53,79,12,8,2,3,9,47
2,7,2013,7,58,53,12,11,2,10,16,32
2,8,2013,8,55,58,15,10,2,17,23,38
2,9,2013,9,63,55,6,12,2.317460317,1,28,36
2,1,2014,1,34,21,2,4,1,1,4,10
2,10,2014,10,64,54,8,5,3,2,8,24
2,11,2014,11,56,64,21,8,3,9,15,31
2,12,2014,12,63,56,11,10,3,16,22,33
2,13,2014,13,53,63,9,2,3,23,29,42
2,14,2014,14,71,53,9,8,3.647887324,1,31,26
2,15,2014,15,60,71,10,4,4,6,12,35
2,16,2014,16,55,60,11,5,4,13,19,28
2,17,2014,17,54,55,11,5,4,20,26,33
2,18,2014,18,49,54,9,6,4.571428571,1,30,35
2,19,2014,19,75,49,9,4,5,4,10,29
2,2,2014,2,45,34,7,5,1,5,11,16
2,20,2014,20,57,75,19,5,5,11,17,42
2,21,2014,21,73,57,11,11,5,18,24,43
2,22,2014,22,72,73,6,13,5,25,31,49
2,23,2014,23,88,72,11,6,6,1,7,48
2,24,2014,24,79,88,19,8,6,8,14,49
2,25,2014,25,73,79,14,15,6,15,21,50
2,26,2014,26,88,73,14,11,6,22,28,43
2,27,2014,27,74,88,23,9,6.756756757,1,30,48
2,28,2014,28,63,74,16,9,7,6,12,46
2,29,2014,29,71,63,14,5,7,13,19,38
2,3,2014,3,75,45,6,8,1,12,18,30
2,30,2014,30,70,71,15,4,7,20,26,42
2,31,2014,31,70,70,11,10,7.357142857,1,31,41
2,32,2014,32,68,70,11,11,8,3,9,44
2,33,2014,33,74,68,12,6,8,10,16,40
2,34,2014,34,83,74,12,12,8,17,23,48
2,35,2014,35,71,83,15,9,8,24,30,52
2,36,2014,36,64,71,9,9,8.828125,1,31,46
2,37,2014,37,82,64,8,13,9,7,13,32
2,38,2014,38,61,82,11,22,9,14,20,53
2,39,2014,39,73,61,8,3,9,21,27,41
2,4,2014,4,60,75,12,10,1,19,25,41
2,40,2014,40,67,73,17,7,9.567164179,1,30,34
2,41,2014,41,68,67,7,10,10,5,11,37
2,42,2014,42,57,68,12,12,10,12,18,49
2,43,2014,43,56,57,11,9,10,19,25,39
2,44,2014,44,64,56,11,11,10.25,1,31,34
2,45,2014,45,65,64,5,11,11,2,8,39
2,46,2014,46,60,65,12,6,11,9,15,30
2,47,2014,47,58,60,12,10,11,16,22,41
2,48,2014,48,60,58,12,4,11,23,29,37
2,49,2014,49,63,60,13,11,11.84126984,1,30,41
2,5,2014,5,83,60,10,16,1.13253012,1,31,36
2,50,2014,50,67,63,11,12,12,7,13,40
2,51,2014,51,52,67,11,9,12,14,20,41
2,52,2014,52,53,52,10,8,12,21,27,27
2,53,2014,53,24,53,11,14,12,28,31,34
2,6,2014,6,60,83,13,11,2,2,8,45
2,7,2014,7,53,60,12,10,2,9,15,33
2,8,2014,8,60,53,14,7,2,16,22,34
2,9,2014,9,54,60,13,4,2.296296296,1,28,31
3,1,2013,1,54,#NAME?,#NAME?,#NAME?,1,1,5,#NAME?
3,10,2013,10,89,83,27,6,3,3,9,43
3,11,2013,11,79,89,41,6,3,10,16,52
